"","name","date","open","high","low","close","volume","market"
"274","Bitcoin","2014-01-26",853.68,897.02,844.86,885.28,32224300,10510400000
"275","Bitcoin","2014-01-27",884.6,893,757.11,771.39,49233600,10894400000
"276","Bitcoin","2014-01-28",774.02,832.5,766.98,812.51,44875500,9535950000
"277","Bitcoin","2014-01-29",809.96,836.87,809.85,826,17984400,9981850000
"278","Bitcoin","2014-01-30",826.02,830.5,799.06,819.03,29918200,10182900000
"279","Bitcoin","2014-01-31",818.43,831.87,812.6,829.92,17107900,10092900000
"280","Bitcoin","2014-02-01",828.61,853.52,827.11,832.58,19668700,10222300000
"281","Bitcoin","2014-02-02",832.9,844.72,820.67,825.37,11300900,10279200000
"282","Bitcoin","2014-02-03",824.08,826.48,807.22,823.83,13940100,10174100000
"283","Bitcoin","2014-02-04",823.77,840.17,820.94,827.96,16609700,1.0174e+10
"284","Bitcoin","2014-02-05",829.96,837.32,811.91,811.91,22395100,10254100000
"285","Bitcoin","2014-02-06",815.59,819.81,770.59,781.55,50108700,10079900000
"286","Bitcoin","2014-02-07",783.2,783.2,654.35,712.4,113643000,9683190000
"287","Bitcoin","2014-02-08",699.57,721.82,661.87,673.92,38742600,8651930000
"288","Bitcoin","2014-02-09",671.46,712.27,655.25,682.9,39311400,8307340000
"289","Bitcoin","2014-02-10",681.32,703.71,550.5,681.03,112758000,8431680000
"290","Bitcoin","2014-02-11",683.5,712.46,636.66,672.17,72745200,8461320000
"291","Bitcoin","2014-02-12",672.38,672.9,643.04,651.72,25367600,8326420000
"292","Bitcoin","2014-02-13",651.08,657.99,601.91,605.24,38588100,8065550000
"293","Bitcoin","2014-02-14",601.17,691.72,541.04,661.99,102506000,7449940000
"294","Bitcoin","2014-02-15",660.9,661.84,632.84,650.92,26709200,8193290000
"295","Bitcoin","2014-02-16",651.3,665.1,584.17,616.63,40061700,8077340000
"296","Bitcoin","2014-02-17",614.23,656.95,607.31,626.27,31948400,7620580000
"297","Bitcoin","2014-02-18",627.16,645.76,612.54,626.6,20015100,7783430000
"298","Bitcoin","2014-02-19",625.97,631.77,618.7,623.03,13897800,7771210000
"299","Bitcoin","2014-02-20",623.09,627.73,556.14,556.14,46905000,7738580000
"300","Bitcoin","2014-02-21",556.88,582.96,530.47,574.16,47308100,6918730000
"301","Bitcoin","2014-02-22",574.24,614.48,558.58,605.42,31254000,7136600000
"302","Bitcoin","2014-02-23",606.47,639.91,599.7,605.82,31434400,7539890000
"303","Bitcoin","2014-02-24",606.04,607.61,538.7,546.32,57893900,7537080000
"304","Bitcoin","2014-02-25",540.24,541.38,420.41,538.71,126314000,6721330000
"305","Bitcoin","2014-02-26",537.04,603.8,532.58,582.69,64642700,6683680000
"306","Bitcoin","2014-02-27",581.65,594.05,566.62,578.77,25540800,7241560000
"307","Bitcoin","2014-02-28",579.7,584.14,545.17,549.26,28076100,7219990000
"308","Bitcoin","2014-03-01",549.92,573.38,539.29,565.61,18668100,6851590000
"309","Bitcoin","2014-03-02",567.23,570.48,553.27,559.79,7950760,7069290000
"310","Bitcoin","2014-03-03",562.56,702.91,560.52,667.76,96056900,7013060000
"311","Bitcoin","2014-03-04",668.24,696.22,655.68,666.78,55344600,8332950000
"312","Bitcoin","2014-03-05",666.24,674.28,646.28,665.51,22461900,8310510000
"313","Bitcoin","2014-03-06",664.52,669.77,649.79,663.86,16068100,8291650000
